truck_number,registration,model,capacity,service_due_date,rego_expiry_date,status,notes
840,XW46EK,ISUZU FVL  1400,8,10/04/2026,29/04/2026,Available,
881,XW91GW,MITSO FUSO FIGHTER 10.0,12,11/04/2026,11/04/2027,Available,
855,XW64YE,Hino GD184R-Q3,12,24/04/2026,26/04/2026,Available,
853,XW40BN,ISUZU FVL 1400,12,14/05/2026,2/07/2026,Available,
672,1DK3DE,MITSUBISHI FIGHTER,6,30/04/2026,24/07/2026,Available,
620,1KF3MA,MITSUBISHI FUSO FIGHTER 6.0,6,30/04/2026,18/09/2026,Available,
841,XV90EH,HINO,8,1/07/2026,11/08/2026,Available,
